,brand,country,product_line,segment,date,value,month,year,month_no,ytd,var_ytd,market_share_ytd
0,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Jan 2016,0.00726280187,Jan,2016,1,0.00726280187,,0.8413173652694612
1,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Jan 2017,0.008580961639999999,Jan,2017,1,0.008580961639999999,0.18149466192170793,0.5278219395866455
2,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Feb 2016,0.006116043679999998,Feb,2016,2,0.013378845549999997,,0.841317365269461
3,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Feb 2017,0.007226072959999998,Feb,2017,2,0.0158070346,0.18149466192170838,0.5278219395866455
4,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Mar 2016,0.00573379095,Mar,2016,3,0.019112636499999995,,0.841317365269461
5,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Mar 2017,0.006774443399999999,Mar,2017,3,0.022581478,0.18149466192170838,0.5278219395866455
6,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Apr 2016,0.00573379095,Apr,2016,4,0.024846427449999993,,0.841317365269461
7,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Apr 2017,0.006774443399999999,Apr,2017,4,0.0293559214,0.18149466192170838,0.5278219395866455
8,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,May 2016,0.006498296410000003,May,2016,5,0.03134472385999999,,0.841317365269461
9,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,May 2017,0.0076777025200000055,May,2017,5,0.03703362392,0.1814946619217086,0.5278219395866455
10,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Jun 2016,0.0068805491399999965,Jun,2016,6,0.03822527299999999,,0.841317365269461
11,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Jun 2017,0.008129332079999997,Jun,2017,6,0.045162956,0.18149466192170838,0.5278219395866455
12,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Jul 2016,0.007168939100000002,Jul,2016,7,0.04539421209999999,,0.8451096591196879
13,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Jul 2017,0.009805258640000003,Jul,2017,7,0.05496821464,0.2109080011986817,0.5414444593327081
14,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Aug 2016,0.007801492549999997,Aug,2016,8,0.05319570464999999,,0.8480990695959573
15,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Aug 2017,0.010670428519999994,Aug,2017,8,0.06563864316,0.233908707326429,0.5521139653298244
16,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Sep 2016,0.006114683349999998,Sep,2016,9,0.059310387999999985,,0.8499025341130603
17,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Sep 2017,0.00836330884,Sep,2017,9,0.074001952,0.24770642201834892,0.5585215605749487
18,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Oct 2016,0.007084598640000001,Oct,2016,10,0.06639498663999999,,0.7915666558546869
19,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Nov 2016,0.006578555879999999,Nov,2016,11,0.07297354251999999,,0.7525813692480359
20,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,BATH & BODY,Dec 2016,0.011638983479999991,Dec,2016,12,0.08461252599999998,,0.7044167610419025
21,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,GIFT SETS,Jan 2016,0.0016541612799999999,Jan,2016,1,0.0016541612799999999,,0.028854824165915238
22,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,GIFT SETS,Jan 2017,0.0035667852599999997,Jan,2017,1,0.0035667852599999997,1.15625,0.14665249734325186
23,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,GIFT SETS,Feb 2016,0.00139297792,Feb,2016,2,0.0030471392,,0.02885482416591524
24,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,GIFT SETS,Feb 2017,0.0030036086399999997,Feb,2017,2,0.006570393899999999,1.1562499999999996,0.14665249734325184
25,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,GIFT SETS,Mar 2016,0.0013059167999999997,Mar,2016,3,0.004353055999999999,,0.028854824165915238
26,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,GIFT SETS,Mar 2017,0.0028158830999999995,Mar,2017,3,0.009386276999999998,1.15625,0.14665249734325184
27,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,GIFT SETS,Apr 2016,0.0013059167999999997,Apr,2016,4,0.0056589727999999985,,0.028854824165915234
28,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,GIFT SETS,Apr 2017,0.0028158830999999995,Apr,2017,4,0.012202160099999998,1.15625,0.1466524973432518
29,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,GIFT SETS,May 2016,0.0014800390399999999,May,2016,5,0.007139011839999998,,0.028854824165915234
30,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,GIFT SETS,May 2017,0.0031913341800000002,May,2017,5,0.015393494279999998,1.1562500000000004,0.14665249734325184
31,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,GIFT SETS,Jun 2016,0.0015671001599999999,Jun,2016,6,0.008706111999999998,,0.028854824165915238
32,ANOTHER DAY IN PARADISE,CHINA,WOMEN PERFUME,GIFT SETS,Jun 2017,0.003379059719999999,Jun,2017,6,0.018772553999999997,1.15625,0.14665249734325186
